Tabell 1
Tiltak;TEK;Småhus (kWh/m2 BRA);Blokk (kWh/m2 BRA);Andel av forbruk etter tiltak Småhus;Andel av forbruk etter tiltak Blokk;Isolert besparelse småhus (kWh/m2 BRA);Isolert besparelse blokk (kWh/m2 BRA);Kommentar;;;;;;;;;;;;;;;;;
Energibehov før tiltak;Eldre;366,5;296,1;0 %;0 %; 	-   ; 	-   ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering yttervegg;Eldre;94,1;81,7;74 %;72 %; 	70 ; 	59 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering av kjeller og loft;Eldre;41,2;24,4;89 %;92 %; 	37 ; 	22 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer gul liste;Eldre;34,3;32,1;90 %;88 %; 	31 ; 	28 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer standard;Eldre;42,2;38,9;88 %;87 %; 	37 ; 	34 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Temperaturstyring;Eldre;19,2894736842105;15,5842105263158;95 %;95 %; 	18 ; 	15 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering yttervegg;TEK49;40,9;59,1;89 %;80 %; 	36 ; 	47 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering av kjeller og loft;TEK49;13,3;7,20000000000002;96 %;98 %; 	13 ; 	7 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer gul liste;TEK49;33,9;31,6;90 %;88 %; 	31 ; 	28 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer standard;TEK49;41,9;38,5;89 %;87 %; 	37 ; 	33 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Temperaturstyring;TEK49;13,3842105263158;12,8368421052632;96 %;96 %; 	13 ; 	12 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering yttervegg;TEK69;27,7;39,7;88 %;82 %; 	24 ; 	33 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering av kjeller og loft;TEK69;11,4;8,40000000000001;95 %;96 %; 	11 ; 	8 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer gul liste;TEK69;33,7;31,3;85 %;85 %; 	29 ; 	27 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer standard;TEK69;41,7;38,3;83 %;83 %; 	35 ; 	32 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Temperaturstyring;TEK69;12,6421052631579;11,6894736842105;95 %;95 %; 	12 ; 	11 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering yttervegg;TEK87;15;9,70000000000002;93 %;94 %; 	14 ; 	9 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering av kjeller og loft;TEK87;4,69999999999999;2,80000000000001;98 %;98 %; 	5 ; 	3 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer gul liste;TEK87;23,4;21;86 %;86 %; 	20 ; 	18 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer standard;TEK87;31,4;28,1;84 %;84 %; 	26 ; 	24 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Temperaturstyring;TEK87;10,5789473684211;9,02105263157895;95 %;95 %; 	10 ; 	9 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering yttervegg;TEK97;3,69999999999999;7,30000000000001;98 %;95 %; 	4 ; 	7 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering av kjeller og loft;TEK97;0,599999999999994;0,400000000000006;100 %;100 %; 	1 ; 	0 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer gul liste;TEK97;6,09999999999999;5;93 %;94 %; 	6 ; 	5 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer standard;TEK97;14,2;12,1;91 %;92 %; 	13 ; 	11 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Temperaturstyring;TEK97;8,77368421052632;8,09473684210526;95 %;95 %; 	8 ; 	8 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering yttervegg;TEK07;0;1,3;100 %;99 %; 	-   ; 	1 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Etterisolering av kjeller og loft;TEK07;0;0,400000000000006;100 %;100 %; 	-   ; 	0 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Oppgradering av vinduer gul liste;TEK07;;;100 %;100 %;;;;;;;;;;;;;;;;;;;;
Oppgradering av vinduer standard;TEK07;8,19999999999999;7,2;94 %;94 %; 	8 ; 	7 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
Temperaturstyring;TEK07;6,8;5,92105263157895;95 %;95 %; 	6 ; 	6 ;Multiconsult/ENOVA tall;;;;;;;;;;;;;;;;;
