bygningskategori;Teknisk forskrift;Titlak;Påvirker energimerket;Besparelse per tiltak - Romoppvarming;Besparelse per tiltak - Tappevann;Besparelse per tiltak - Elspesifikt;Romoppvarmingsbehov (kWh/m2/år);Tappevannsbehov (kWh/m2/år);Elspesifikt behov (kWh/m2/år);Total energibruk før tiltak;Energibruk til romoppvarming etter tiltak;Energibruk til tappevann etter tiltak;Energibruk til elspesifikt etter tiltak
Småhus;TEK69;Etterisolering yttervegg;1; 	28 ;0;0;180,4;29,800;30,1;240,3;85 %;100 %;100 %
Småhus;TEK69;Etterisolering av kjeller og loft;1; 	11 ;0;0;180,4;29,8;30,1;240,3;94 %;100 %;100 %
Småhus;TEK69;Oppgradering av vinduer gul liste;1; 	34 ;0;0;180,4;29,8;30,1;240,3;81 %;100 %;100 %
Småhus;TEK69;Oppgradering av vinduer standard;1; 	42 ;0;0;180,4;29,8;30,1;240,3;77 %;100 %;100 %
Småhus;TEK69;Temperaturstyring;0; 	13 ;0;0;180,4;29,8;30,1;240,3;93 %;100 %;100 %
Småhus;TEK69;Luft-luft varmepumpe;1; 	59 ; 	-   ; 	-   ;180,4;29,8;30,1;240,3;67 %;100 %;100 %
Småhus;TEK69;Luft-væske varmepumpe;1; 	87 ; 	9 ; 	-   ;180,4;29,8;30,1;240,3;52 %;70 %;100 %
Småhus;TEK69;Væske-væske varmepumpe;1; 	122 ; 	11 ; 	-   ;180,4;29,8;30,1;240,3;32 %;64 %;100 %
Boligblokk;TEK69;Etterisolering yttervegg;1; 	40 ;0;0;162,4;29,8;30,1;222,3;76 %;100 %;100 %
Boligblokk;TEK69;Etterisolering av kjeller og loft;1; 	8 ;0;0;162,4;29,8;30,1;222,3;95 %;100 %;100 %
Boligblokk;TEK69;Oppgradering av vinduer gul liste;1; 	31 ;0;0;162,4;29,8;30,1;222,3;81 %;100 %;100 %
Boligblokk;TEK69;Oppgradering av vinduer standard;1; 	38 ;0;0;162,4;29,8;30,1;222,3;76 %;100 %;100 %
Boligblokk;TEK69;Temperaturstyring;0; 	12 ;0;0;162,4;29,8;30,1;222,3;93 %;100 %;100 %
Boligblokk;TEK69;Luft-luft varmepumpe;1; 	53 ; 	-   ; 	-   ;162,4;29,8;30,1;222,3;67 %;100 %;100 %
Boligblokk;TEK69;Luft-væske varmepumpe;1; 	78 ; 	9 ; 	-   ;162,4;29,8;30,1;222,3;52 %;70 %;100 %
Boligblokk;TEK69;Væske-væske varmepumpe;1; 	110 ; 	11 ; 	-   ;162,4;29,8;30,1;222,3;32 %;64 %;100 %
Småhus;TEK87;Etterisolering yttervegg;1; 	15 ;0;0;141,4;29,8;29,9;201,1;89 %;100 %;100 %
Småhus;TEK87;Etterisolering av kjeller og loft;1; 	5 ;0;0;141,4;29,8;29,9;201,1;97 %;100 %;100 %
Småhus;TEK87;Oppgradering av vinduer gul liste;1; 	23 ;0;0;141,4;29,8;29,9;201,1;83 %;100 %;100 %
Småhus;TEK87;Oppgradering av vinduer standard;1; 	31 ;0;0;141,4;29,8;29,9;201,1;78 %;100 %;100 %
Småhus;TEK87;Temperaturstyring;0; 	11 ;0;0;141,4;29,8;29,9;201,1;93 %;100 %;100 %
Småhus;TEK87;Luft-luft varmepumpe;1; 	46 ; 	-   ; 	-   ;141,4;29,8;29,9;201,1;67 %;100 %;100 %
Småhus;TEK87;Luft-væske varmepumpe;1; 	68 ; 	9 ; 	-   ;141,4;29,8;29,9;201,1;52 %;70 %;100 %
Småhus;TEK87;Væske-væske varmepumpe;1; 	96 ; 	11 ; 	-   ;141,4;29,8;29,9;201,1;32 %;64 %;100 %
Boligblokk;TEK87;Etterisolering yttervegg;1;10;0;0;111,9;29,8;29,7;171,4;91 %;100 %;100 %
Boligblokk;TEK87;Etterisolering av kjeller og loft;1;3;0;0;111,9;29,8;29,7;171,4;97 %;100 %;100 %
Boligblokk;TEK87;Oppgradering av vinduer gul liste;1;21;0;0;111,9;29,8;29,7;171,4;81 %;100 %;100 %
Boligblokk;TEK87;Oppgradering av vinduer standard;1;28;0;0;111,9;29,8;29,7;171,4;75 %;100 %;100 %
Boligblokk;TEK87;Temperaturstyring;0;9;0;0;111,9;29,8;29,7;171,4;92 %;100 %;100 %
Boligblokk;TEK87;Luft-luft varmepumpe;1; 	37 ; 	-   ; 	-   ;111,9;29,8;29,7;171,4;67 %;100 %;100 %
Boligblokk;TEK87;Luft-væske varmepumpe;1; 	54 ; 	9 ; 	-   ;111,9;29,8;29,7;171,4;52 %;70 %;100 %
Boligblokk;TEK87;Væske-væske varmepumpe;1; 	76 ; 	11 ; 	-   ;111,9;29,8;29,7;171,4;32 %;64 %;100 %
Småhus;TEK97;Etterisolering yttervegg;1;4;0;0;102,9;29,8;34,1;166,8;96 %;100 %;100 %
Småhus;TEK97;Etterisolering av kjeller og loft;1;1;0;0;102,9;29,8;34,1;166,8;99 %;100 %;100 %
Småhus;TEK97;Oppgradering av vinduer gul liste;1;6;0;0;102,9;29,8;34,1;166,8;94 %;100 %;100 %
Småhus;TEK97;Oppgradering av vinduer standard;1;14;0;0;102,9;29,8;34,1;166,8;86 %;100 %;100 %
