Address,BuildingNumber,BuildingType
"Fredriksborgveien 42","80010303","14 - Store boligbygg"
"Dammanns vei 13","80010575","11 - Enebolig"
"Bygdøy terrasse 16","80010613","13 - Rekkehus, kjedehus, andre småhus"
"Graahbakken 8","80010621","11 - Enebolig"
"Strømsborgveien 42","80010648","13 - Rekkehus, kjedehus, andre småhus"
"Strømsborgveien 55B","80010664","11 - Enebolig"
"Strømsborgveien 30","80010699","11 - Enebolig"
"Strømsborgveien 25","80010737","12 - Tomannsbolig"
"Dorthes vei 12","80010788","12 - Tomannsbolig"
"Dorthes vei 14","80010796","12 - Tomannsbolig"
"Christian Frederiks vei 6D","80010850","11 - Enebolig"
"Strømsborgveien 47","80010885","11 - Enebolig"
"Strømsborgveien 47B","80010923","11 - Enebolig"
"Huk aveny 5B","80010931","11 - Enebolig"
"Mellbyedalen 12","80010966","11 - Enebolig"
"Strømsborgveien 29","80010982","11 - Enebolig"
"Strømsborgveien 39","80011024","11 - Enebolig"
"Strømsborgveien 40B","80011040","12 - Tomannsbolig"
"Huk aveny 7","80011067","11 - Enebolig"
"Fredriksborgveien 12","80011083","11 - Enebolig"
"Strømsborgveien 43A","80011113","12 - Tomannsbolig"
"Fredriksborgveien 35C","80011156","12 - Tomannsbolig"
"Strømsborgveien 35C","80011199","13 - Rekkehus, kjedehus, andre småhus"
"Strømsborgveien 18","80011202","11 - Enebolig"
"Fredriksborgveien 8","80011237","12 - Tomannsbolig"
"Christian Benneches vei 6","80011296","11 - Enebolig"
"Fredriksborgveien 10B","80011334","11 - Enebolig"
"Dammanns vei 4","80011350","11 - Enebolig"
"Christian Benneches vei 4C","80011385","11 - Enebolig"
"Christian Benneches vei 4C","80011393","11 - Enebolig"
"Christian Benneches vei 4B","80011407","11 - Enebolig"
"Christian Benneches vei 4K","80011423","11 - Enebolig"
"Christian Benneches vei 4J","80011458","11 - Enebolig"
"Christian Benneches vei 2F","80011466","11 - Enebolig"
"Mellbyedalen 8B","80011482","11 - Enebolig"
"Museumsveien 7B","80011504","11 - Enebolig"
"Museumsveien 7","80011512","16 - Fritidsbolig"
"Huk aveny 5A","80011520","11 - Enebolig"
"Huk aveny 8","80011539","11 - Enebolig"
"Christian Benneches vei 1","80011547","11 - Enebolig"
"Huk aveny 9B","80011571","11 - Enebolig"
"P. T. Mallings vei 27A","80011636","11 - Enebolig"
"P. T. Mallings vei 27B","80011644","11 - Enebolig"
"Konsul Schjelderups vei 10","80011660","11 - Enebolig"
"Langviksveien 21A","80011679","12 - Tomannsbolig"
"Løchenveien 26","80011733","11 - Enebolig"
"Bygdøylund 2","80011784","13 - Rekkehus, kjedehus, andre småhus"
"Bygdøylund 1","80011792","13 - Rekkehus, kjedehus, andre småhus"
"Bygdøylund 6","80011806","13 - Rekkehus, kjedehus, andre småhus"
"Bygdøylund 9","80011814","13 - Rekkehus, kjedehus, andre småhus"
"Bygdøylund 51","80011822","13 - Rekkehus, kjedehus, andre småhus"
"Bygdøylund 19","80011830","13 - Rekkehus, kjedehus, andre småhus"
"Bygdøylund 35","80011849","13 - Rekkehus, kjedehus, andre småhus"
"Bygdøynesveien 15","80011962","11 - Enebolig"
"Bygdøynesveien 15","80011970","12 - Tomannsbolig"
"Harald Rømckes vei 11","80011997","12 - Tomannsbolig"
"Løchenveien 12","80012020","11 - Enebolig"
"Løchenveien 42","80012055","11 - Enebolig"
"Løchenveien 40A","80012063","12 - Tomannsbolig"
"Løchenveien 40B","80012071","12 - Tomannsbolig"
"Bygdøynesveien 35","80012144","12 - Tomannsbolig"
